time,temperature_2m
2026-02-14T00:00,0.2
2026-02-14T01:00,-0.4
2026-02-14T02:00,-0.7
2026-02-14T03:00,-0.8
2026-02-14T04:00,-1.0
2026-02-14T05:00,-1.1
2026-02-14T06:00,-1.0
2026-02-14T07:00,-1.3
2026-02-14T08:00,-0.9
2026-02-14T09:00,-0.5
2026-02-14T10:00,-0.8
2026-02-14T11:00,-0.5
2026-02-14T12:00,-0.5
2026-02-14T13:00,-0.7
2026-02-14T14:00,0.1
2026-02-14T15:00,1.6
2026-02-14T16:00,3.8
2026-02-14T17:00,6.9
2026-02-14T18:00,8.0
2026-02-14T19:00,9.1
2026-02-14T20:00,9.0
2026-02-14T21:00,8.6
2026-02-14T22:00,7.8
2026-02-14T23:00,5.1
2026-02-15T00:00,3.5
2026-02-15T01:00,2.2
2026-02-15T02:00,1.5
2026-02-15T03:00,1.0
2026-02-15T04:00,0.5
2026-02-15T05:00,-0.1
2026-02-15T06:00,-0.3
2026-02-15T07:00,-0.1
2026-02-15T08:00,-0.1
2026-02-15T09:00,-0.2
2026-02-15T10:00,-0.2
2026-02-15T11:00,-1.1
2026-02-15T12:00,-1.5
2026-02-15T13:00,0.3
2026-02-15T14:00,2.5
2026-02-15T15:00,3.6
2026-02-15T16:00,5.0
2026-02-15T17:00,6.5
2026-02-15T18:00,7.7
2026-02-15T19:00,8.2
2026-02-15T20:00,6.2
2026-02-15T21:00,4.8
2026-02-15T22:00,3.7
2026-02-15T23:00,2.7
2026-02-16T00:00,2.1
2026-02-16T01:00,1.7
2026-02-16T02:00,1.6
2026-02-16T03:00,1.3
2026-02-16T04:00,1.3
2026-02-16T05:00,1.2
2026-02-16T06:00,0.7
2026-02-16T07:00,0.3
2026-02-16T08:00,0.0
2026-02-16T09:00,-0.2
2026-02-16T10:00,-0.6
2026-02-16T11:00,-1.0
2026-02-16T12:00,-1.5
2026-02-16T13:00,-1.7
2026-02-16T14:00,-1.0
2026-02-16T15:00,-0.3
2026-02-16T16:00,0.4
2026-02-16T17:00,1.1
2026-02-16T18:00,1.7
2026-02-16T19:00,2.2
2026-02-16T20:00,2.3
2026-02-16T21:00,2.1
2026-02-16T22:00,0.8
2026-02-16T23:00,-0.1
2026-02-17T00:00,-0.2
2026-02-17T01:00,-0.3
2026-02-17T02:00,-0.4
2026-02-17T03:00,-0.4
2026-02-17T04:00,-0.3
2026-02-17T05:00,-0.4
2026-02-17T06:00,-0.5
2026-02-17T07:00,-0.4
2026-02-17T08:00,-0.6
2026-02-17T09:00,-0.6
2026-02-17T10:00,0.1
2026-02-17T11:00,0.6
2026-02-17T12:00,0.7
2026-02-17T13:00,0.8
2026-02-17T14:00,1.2
2026-02-17T15:00,1.8
2026-02-17T16:00,4.0
2026-02-17T17:00,5.6
2026-02-17T18:00,6.7
2026-02-17T19:00,7.5
2026-02-17T20:00,7.4
2026-02-17T21:00,6.5
2026-02-17T22:00,5.3
2026-02-17T23:00,4.1
2026-02-18T00:00,3.5
2026-02-18T01:00,3.0
2026-02-18T02:00,2.5
2026-02-18T03:00,1.9
2026-02-18T04:00,1.5
2026-02-18T05:00,1.4
2026-02-18T06:00,1.3
2026-02-18T07:00,1.2
2026-02-18T08:00,1.0
2026-02-18T09:00,0.9
2026-02-18T10:00,0.9
2026-02-18T11:00,0.6
2026-02-18T12:00,0.4
2026-02-18T13:00,0.8
2026-02-18T14:00,1.3
2026-02-18T15:00,1.6
2026-02-18T16:00,2.4
2026-02-18T17:00,2.5
2026-02-18T18:00,2.7
2026-02-18T19:00,2.5
2026-02-18T20:00,2.3
2026-02-18T21:00,2.2
2026-02-18T22:00,2.0
2026-02-18T23:00,1.9
2026-02-19T00:00,0.5
2026-02-19T01:00,0.1
2026-02-19T02:00,0.0
2026-02-19T03:00,0.1
2026-02-19T04:00,0.2
2026-02-19T05:00,0.2
2026-02-19T06:00,0.2
2026-02-19T07:00,0.2
2026-02-19T08:00,0.1
2026-02-19T09:00,0.1
2026-02-19T10:00,0.1
2026-02-19T11:00,0.0
2026-02-19T12:00,0.1
2026-02-19T13:00,0.3
2026-02-19T14:00,0.7
2026-02-19T15:00,0.9
2026-02-19T16:00,1.1
2026-02-19T17:00,1.3
2026-02-19T18:00,1.4
2026-02-19T19:00,1.4
2026-02-19T20:00,1.4
2026-02-19T21:00,1.4
2026-02-19T22:00,1.3
2026-02-19T23:00,1.2
2026-02-20T00:00,1.1
2026-02-20T01:00,1.1
2026-02-20T02:00,1.2
2026-02-20T03:00,1.2
2026-02-20T04:00,1.3
2026-02-20T05:00,1.3
2026-02-20T06:00,1.3
2026-02-20T07:00,1.3
2026-02-20T08:00,1.3
2026-02-20T09:00,1.3
2026-02-20T10:00,1.3
2026-02-20T11:00,1.3
2026-02-20T12:00,1.4
2026-02-20T13:00,1.6
2026-02-20T14:00,1.8
2026-02-20T15:00,2.0
2026-02-20T16:00,2.2
2026-02-20T17:00,2.3
2026-02-20T18:00,2.5
2026-02-20T19:00,2.8
2026-02-20T20:00,3.0
2026-02-20T21:00,3.2
2026-02-20T22:00,3.4
2026-02-20T23:00,3.5
